,year,JD,ID,TimeDiff,AOD
2017-12-21 05:20:00,2017,355,20173550520,17.983561643835618,1.0500526315789473
2017-12-21 08:25:00,2017,355,20173550825,17.983561643835618,0.8067466666666667
2017-12-22 06:00:00,2017,356,20173560600,17.986301369863014,0.5244418604651163
2017-12-22 07:30:00,2017,356,20173560730,17.986301369863014,0.47555200000000003
2017-12-24 05:50:00,2017,358,20173580550,17.991780821917807,0.5182260869565217
2017-12-25 08:05:00,2017,359,20173590805,17.994520547945207,1.3060999999999998
2017-12-26 05:40:00,2017,360,20173600540,17.997260273972604,1.0266869565217391
2017-12-27 04:40:00,2017,361,20173610440,18.0,2.040784
2017-12-27 07:50:00,2017,361,20173610750,18.0,1.0886133333333332
2017-12-28 08:35:00,2017,362,20173620835,18.002739726027396,1.6116845637583892
2018-01-03 07:55:00,2018,003,20180030755,18.019178082191782,1.068591836734694
2018-01-06 08:25:00,2018,006,20180060825,18.027397260273972,0.4733125
2018-01-07 06:00:00,2018,007,20180070600,18.03013698630137,0.5789160305343511
2018-01-07 07:30:00,2018,007,20180070730,18.03013698630137,0.5581267605633802
2018-01-08 05:05:00,2018,008,20180080505,18.03287671232877,0.7151176470588235
2018-01-08 08:15:00,2018,008,20180080815,18.03287671232877,0.7032335766423358
2018-01-09 07:20:00,2018,009,20180090720,18.035616438356165,0.9561066666666667
2018-01-10 04:55:00,2018,010,20180100455,18.03835616438356,1.08202
2018-01-10 08:05:00,2018,010,20180100805,18.03835616438356,0.8443006993006993
2018-01-12 07:50:00,2018,012,20180120750,18.043835616438358,1.06524
2018-01-13 08:35:00,2018,013,20180130835,18.046575342465754,0.8949855072463767
2018-01-14 06:10:00,2018,014,20180140610,18.04931506849315,0.54088
2018-01-14 07:40:00,2018,014,20180140740,18.04931506849315,0.5549133333333333
2018-01-15 05:15:00,2018,015,20180150515,18.052054794520547,0.6307619047619049
2018-01-15 08:20:00,2018,015,20180150820,18.052054794520547,0.5836133333333333
2018-01-16 05:55:00,2018,016,20180160555,18.054794520547944,0.5288066666666666
2018-01-16 07:25:00,2018,016,20180160725,18.054794520547944,0.54234
2018-01-17 08:10:00,2018,017,20180170810,18.057534246575344,0.803304347826087
