,year,JD,ID,TimeDiff,AOD
2000-06-16 02:45:00,2000,168,20001680245,0.4575342465753425,1.6037339449541284
2000-06-18 04:10:00,2000,170,20001700410,0.46301369863013697,0.8004098360655738
2000-06-19 03:15:00,2000,171,20001710315,0.4657534246575342,0.8020362473347548
2000-06-27 04:05:00,2000,179,20001790405,0.4876712328767123,1.0173499005964215
2000-06-29 03:50:00,2000,181,20001810350,0.4931506849315068,0.44419333333333333
2000-06-30 02:55:00,2000,182,20001820255,0.4958904109589041,0.01541
2000-07-01 03:40:00,2000,183,20001830340,0.4986301369863014,0.24439833333333333
2000-07-02 02:45:00,2000,184,20001840245,0.5013698630136987,0.5651091854419411
2000-07-11 04:15:00,2000,193,20001930415,0.5260273972602739,0.7369932279909707
2000-07-12 03:20:00,2000,194,20001940320,0.5287671232876713,0.18856833333333334
2000-07-13 04:05:00,2000,195,20001950405,0.5315068493150685,0.7255883333333334
2000-07-14 03:10:00,2000,196,20001960310,0.5342465753424658,0.601405
2001-07-10 02:55:00,2001,191,20011910255,1.5232876712328767,0.3257683333333333
2001-07-11 03:40:00,2001,192,20011920340,1.526027397260274,0.14787
2001-07-12 02:45:00,2001,193,20011930245,1.5287671232876712,0.06528166666666667
2001-07-14 04:10:00,2001,195,20011950410,1.5342465753424657,0.6140071556350627
2001-07-15 03:15:00,2001,196,20011960315,1.536986301369863,1.2205233333333334
2001-07-17 03:00:00,2001,198,20011980300,1.5424657534246575,0.5510283333333333
2002-06-17 03:50:00,2002,168,20021680350,2.4602739726027396,1.7773333333333332
2002-07-02 03:05:00,2002,183,20021830305,2.5013698630136987,1.1934007220216607
2002-07-05 05:15:00,2002,186,20021860515,2.5095890410958903,0.8624616666666667
2002-07-06 02:40:00,2002,187,20021870240,2.5123287671232877,0.16819499999999998
2002-07-06 05:55:00,2002,187,20021870555,2.5123287671232877,0.08046166666666667
2002-07-07 03:25:00,2002,188,20021880325,2.515068493150685,0.12705333333333332
2002-07-07 05:00:00,2002,188,20021880500,2.515068493150685,0.116605
2002-07-08 02:30:00,2002,189,20021890230,2.5178082191780824,0.2811116666666667
2002-07-08 04:10:00,2002,189,20021890410,2.5178082191780824,0.3816966666666667
2002-07-08 05:45:00,2002,189,20021890545,2.5178082191780824,0.3665233333333333
2002-07-09 03:15:00,2002,190,20021900315,2.5205479452054793,2.2312637729549247
2002-07-09 04:50:00,2002,190,20021900450,2.5205479452054793,1.6559978991596638
2002-07-10 03:55:00,2002,191,20021910355,2.5232876712328767,1.933179435483871
2002-07-11 03:00:00,2002,192,20021920300,2.526027397260274,0.30204000000000003
2002-07-11 04:35:00,2002,192,20021920435,2.526027397260274,0.4133733333333333
2002-07-11 06:15:00,2002,192,20021920615,2.526027397260274,0.3455929648241206
2002-07-14 03:30:00,2002,195,20021950330,2.5342465753424657,0.07916140350877193
2002-07-14 05:05:00,2002,195,20021950505,2.5342465753424657,0.09468065268065269
2002-07-15 02:35:00,2002,196,20021960235,2.536986301369863,0.17034833333333332
2002-07-16 03:20:00,2002,197,20021970320,2.5397260273972604,0.1319352051835853
2003-06-17 04:50:00,2003,168,20031680450,3.4602739726027396,2.4977666666666667
2003-06-20 03:50:00,2003,171,20031710350,3.4684931506849317,2.2583965517241382
2003-06-20 05:20:00,2003,171,20031710520,3.4684931506849317,1.9964733333333333
2003-06-21 02:55:00,2003,172,20031720255,3.4712328767123286,1.970675
2003-06-23 05:55:00,2003,174,20031740555,3.4767123287671233,0.2368998035363458
2003-06-24 03:25:00,2003,175,20031750325,3.4794520547945207,0.06870833333333333
2003-06-24 05:00:00,2003,175,20031750500,3.4794520547945207,0.08266166666666666
2003-06-27 03:55:00,2003,178,20031780355,3.4876712328767123,0.7641183333333333
2003-06-28 03:00:00,2003,179,20031790300,3.4904109589041097,0.2604168126094571
2003-07-01 03:30:00,2003,182,20031820330,3.4986301369863013,0.6325416666666667
2003-07-04 02:20:00,2003,185,20031850220,3.506849315068493,1.978614973262032
2003-07-04 04:00:00,2003,185,20031850400,3.506849315068493,0.9887085020242915
2003-07-04 05:35:00,2003,185,20031850535,3.506849315068493,0.5081627906976744
2003-07-05 04:40:00,2003,186,20031860440,3.5095890410958903,0.8789775280898876
2003-07-09 02:40:00,2003,190,20031900240,3.5205479452054793,0.07244833333333334
2003-07-09 05:55:00,2003,190,20031900555,3.5205479452054793,0.22313745704467353
2003-07-10 03:25:00,2003,191,20031910325,3.5232876712328767,1.0312316666666665
2003-07-10 05:00:00,2003,191,20031910500,3.5232876712328767,0.9718433333333334
2003-07-15 03:40:00,2003,196,20031960340,3.536986301369863,1.5127016666666666
2003-07-15 05:15:00,2003,196,20031960515,3.536986301369863,1.4671433333333335
